Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-07-13 07:30:43,false,"Santiago de Surco Running","3.84","297","00:40:12","132","150","132","244","10:29","6:57","4","46","0.72","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:08:59.5","4","NaN","--","--","--","00:40:01","00:40:13","74","117"
Running,2024-07-12 17:00:20,false,"Santiago de Surco Running","8.02","498","00:53:15","147","163","183","193","6:38","5:34","19","64","0.82","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:06.6","9","NaN","--","--","--","00:53:10","00:53:15","100","150"
Running,2024-07-11 05:32:51,false,"Santiago de Surco Running","6.00","466","00:41:12","166","190","173","183","6:52","5:36","4","68","0.84","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:02.8","7","NaN","--","--","--","00:41:05","00:41:12","99","169"
Running,2024-07-08 13:15:26,false,"Santiago de Surco - Regreso lesion","5.03","294","00:42:10","117","154","132","249","8:23","5:30","22","28","0.92","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:04:12.0","6","NaN","--","--","--","00:42:08","00:42:36","146","163"
Running,2024-06-22 08:20:53,false,"Santiago de Surco Running","3.01","161","00:16:47","140","159","178","187","5:34","4:59","4","45","1.01","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:02.8","4","NaN","--","--","--","00:16:46","00:16:47","100","146"
Running,2024-06-21 05:49:00,false,"Santiago de Surco Running","4.11","241","00:23:45","149","166","182","197","5:47","4:23","2","61","0.95","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:30.7","5","NaN","--","--","--","00:23:38","00:23:45","79","143"
Running,2024-06-20 17:47:59,false,"Santiago de Surco Running","3.29","193","00:18:17","152","168","183","198","5:34","4:40","2","41","0.98","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:22.5","4","NaN","--","--","--","00:18:17","00:18:17","179","221"
Yoga,2024-06-19 08:00:33,false,"Yoga","--","7","00:04:41.6","66","90","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:04:41.6","1","NaN","-84","84","0","00:00:00","00:04:41.6","--","--"
Meditation,2024-06-17 22:58:20,false,"Meditation ","--","8","00:08:03.6","54","69","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:08:03.6","1","NaN","-12","12","0","00:00:00","00:08:03.6","--","--"
Meditation,2024-06-16 10:14:31,false,"Meditación ","--","4","00:04:38.2","53","64","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:04:38.2","1","NaN","-11","11","0","00:00:00","00:04:38.2","--","--"
Meditation,2024-06-13 06:38:43,false,"Meditation ","--","11","00:05:14.1","73","92","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:05:14.1","1","NaN","-93","93","0","00:00:00","00:05:14.1","--","--"
Walking,2024-06-13 05:18:19,false,"San Borja Walking","1.57","99","00:18:45","112","142","104","128","11:56","10:20","--","8","0.81","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:06:30.8","2","NaN","--","--","--","00:18:36","00:18:45","127","179"
Running,2024-06-13 04:07:46,false,"Santiago de Surco Running","12.01","695","01:09:54","148","164","178","185","5:49","5:12","31","98","0.97","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.6","13","NaN","--","--","--","01:09:50","01:09:54","126","197"
Meditation,2024-06-12 06:35:04,false,"Meditation ","--","6","00:05:16.2","60","79","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:05:16.2","1","NaN","-59","59","0","00:00:00","00:05:16.2","--","--"
Running,2024-06-12 05:02:13,false,"Santiago de Surco Running","8.02","430","00:46:01","143","160","183","191","5:44","4:56","68","198","0.95","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:00:04.6","9","NaN","--","--","--","00:45:52","00:46:01","-5","184"
Running,2024-06-10 21:57:53,false,"Santiago de Surco Running","6.23","299","00:35:16","131","152","183","198","5:40","4:50","4","75","0.96","NaN","NaN","NaN","0.0","NaN","NaN","--","NaN","NaN","NaN","No","00:01:04.1","7","NaN","--","--","--","00:35:07","00:35:16","87","165"
