Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad
AD Cafetalera Alto Amazonas,Cajaruro,Estadio Alto Amazonas,Copa Perú,Amazonas,1998.0,26.0
Agricobank San Lorenzo,Bagua,Estadio Manuel Mesones,Copa Perú,Amazonas,1963.0,61.0
Alfonso Ugarte,La Peca,Estadio Manuel Mesones,Copa Perú,Amazonas,1959.0,65.0
Alianza Polvorín,Aramango,Estadio Municipal de Aramango,Copa Perú,Amazonas,,
Bagua Grande FC,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,2013.0,11.0
Cultural Utcubamba,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0
Deportivo Hospital,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1972.0,52.0
Deportivo Municipal de Cajacuro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,1975.0,49.0
Deportivo Municipal de Jazán,Jazán,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1996.0,28.0
Deportivo Municipal de Mendoza,Mendoza,Estadio Mariscal Benavides,Copa Perú,Amazonas,1963.0,61.0
Deportivo Sachapuyos[2]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1953.0,71.0
Higos Urco[3]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1947.0,77.0
Juventud Dinámica Tushpuna[4]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1968.0,56.0
San Francisco de Asís,Lonya Grande,Estadio San Luis,Copa Perú,Amazonas,1946.0,78.0
Sporting Victoria[5]​,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0
Unión Comercial,Pedro Ruiz Gallo,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1983.0,41.0
Unión Progreso,Yambrasbamba,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,,
Unión Santo Domingo,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1979.0,45.0
Unión Vencedores de Cajaruro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,2016.0,8.0
Alianza Antabamba,Antabamba,Estadio Municipal de Antabamba,Copa Perú,Apurímac,1966.0,58.0
Alianza Ocobamba,Ocobamba,Estadio Municipal de Ocobamba,Copa Perú,Apurímac,1976.0,48.0
Alianza Talavera,Talavera,Estadio Los Chankas,Copa Perú,Apurímac,1971.0,53.0
Andahuaylas FC,Talavera,Estadio San Jerónimo,Copa Perú,Apurímac,2007.0,17.0
Deportivo Educación,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1972.0,52.0
Deportivo La Victoria,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1973.0,51.0
José María Arguedas,Andahuaylas,Estadio Los Chankas,Copa Perú,Apurímac,2004.0,20.0
Los Chankas,Andahuaylas,Estadio Los Chankas,Primera División,Apurímac,1990.0,34.0
Mariano Melgar,San Jerónimo,Estadio Los Chankas,Copa Perú,Apurímac,1971.0,53.0
Miguel Grau,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1955.0,69.0
Palmeiras de Pampahura,Huancarama,Estadio Mazingara de Huancarama,Copa Perú,Apurímac,2011.0,13.0
Social Barrio Alto,Antabamba,Estadio Municipal de Antabamba,Copa Perú,Apurímac,1961.0,63.0
Social El Olivo,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1962.0,62.0
Sport Municipal,San Jerónimo,Estadio Los Chankas,Copa Perú,Apurímac,1990.0,34.0
Unión Panamericana,Chalhuanca,Estadio Urubamba de Chalhuanca,Copa Perú,Apurímac,1974.0,50.0
ADC Santos,Jacobo Hunter,Estadio Juan Velasco Alvarado,Copa Perú,Arequipa,1961.0,63.0
Alfonso Ugarte[7]​,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1938.0,86.0
Alianza Salaverry,Socabaya,Estadio El Bosque,Copa Perú,Arequipa,1960.0,64.0
Alianza San Isidro[8]​[9]​,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1914.0,110.0
América Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1919.0,105.0
Aragonés Porongoche,Paucarpata,Estadio Máximo Carrasco Meza,Copa Perú,Arequipa,1955.0,69.0
Atlético Mollendo,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1946.0,78.0
Atlético Pedregal,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,1992.0,32.0
Atlético Perú,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1951.0,73.0
Atlético Simón Bolívar,Satélite,Estadio Simón Bolívar,Copa Perú,Arequipa,1967.0,57.0
Atlético Universidad,Arequipa,Estadio Monumental de la UNSA,Copa Perú,Arequipa,1964.0,60.0
Benfica,Alto Selva Alegre,Complejo Deportivo Alto Selva Alegre,Copa Perú,Arequipa,1968.0,56.0
Boca Juniors,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1935.0,89.0
Boys Perú,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1958.0,66.0
Buenos Aires,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1935.0,89.0
Defensor Lima de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1983.0,41.0
Defensor Villa Lourdes,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1972.0,52.0
Deportivo Antiquilla,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1954.0,70.0
Deportivo Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1950.0,74.0
Deportivo Earling Boys,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1947.0,77.0
Deportivo Estrella,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1928.0,96.0
Deportivo Islay,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1957.0,67.0
Deportivo Mistiano,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1919.0,105.0
Deportivo Olímpico,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1923.0,101.0
Deportivo Orcopampa,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,,
Deportivo Signos,Yura,Estadio Olímpico Ciudad de Dios,Copa Perú,Arequipa,,
Deportivo Trueno,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1945.0,79.0
El Porvenir,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0
Estrella del Misti,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0
FBC Aurora,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1917.0,107.0
FBC Melgar,Arequipa,Estadio Monumental de la UNSA,Primera División,Arequipa,1915.0,109.0
FBC Ostende,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1922.0,102.0
FBC Piérola,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1922.0,102.0
Futuro Majes,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2001.0,23.0
Inclán Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1920.0,104.0
Independencia,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1913.0,111.0
Independiente,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1935.0,89.0
Independiente de Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0
Internacional,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1895.0,129.0
Jorge Chávez Atico,Atico,Estadio Municipal de Atico,Copa Perú,Arequipa,1987.0,37.0
Juvenil Andino,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0
Juvenil Bellapampa,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1956.0,68.0
Juvenil Huancarqui,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1945.0,79.0
Juventus Corazón,Majes,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,,
La Colina,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2010.0,14.0
La Unión,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0
León del Sur,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1938.0,86.0
Marítimo Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0
Nacional FBC,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0
Primero de Mayo,Matarani,Estadio Juan Teodoro Medina,Copa Perú,Arequipa,1964.0,60.0
Rayo Chachani,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1943.0,81.0
Real Castilla,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1977.0,47.0
Real Madrid de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1972.0,52.0
Rocket Boys,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1962.0,62.0
Saetas de Oro,La Joya,Estadio Municipal de la Joya,Copa Perú,Arequipa,1975.0,49.0
San Jacinto FBC,Samuel Pastor,Estadio Raúl Gorriti Drago,Copa Perú,Arequipa,2014.0,10.0
San José,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1960.0,64.0
San Vicente,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1931.0,93.0
Satélite Chico,José Luis Bustamante y Rivero,Estadio Simón Bolívar,Copa Perú,Arequipa,1985.0,39.0
Social Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0
Social Deportivo Caravelí,Caravelí,Estadio Municipal de Caravelí,Copa Perú,Arequipa,1936.0,88.0
Sport Boys,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1948.0,76.0
Sport Boys,Punta de Bombón,Estadio Municipal de Punta de Bombón,Copa Perú,Arequipa,1956.0,68.0
Sport Chucarapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1933.0,91.0
Sport José Granda,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1968.0,56.0
Sport Perú,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1930.0,94.0
Sport San Martín,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1969.0,55.0
Sport Victoria del Huayco,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1904.0,120.0
Sporting Cristal Churacapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1957.0,67.0
Sportivo Cosos,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1926.0,98.0
Sportivo Huracán,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1927.0,97.0
Temperley,José Luis Bustamante y Rivero,Estadio Melgar,Copa Perú,Arequipa,1978.0,46.0
Unión Beaterio,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1949.0,75.0
Unión Bellavista,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1969.0,55.0
Unión Huarangal,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1976.0,48.0
Unión Libertad,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1945.0,79.0
Unión Minas,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,1980.0,44.0
Unión Salaverry,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1939.0,85.0
White Star,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1918.0,106.0
Yanahuara,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1932.0,92.0
Alianza Huamanga,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1955.0,69.0
Atlético Grau,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1931.0,93.0
Ayacucho FC,Ayacucho,Estadio Ciudad de Cumaná,Segunda División,Ayacucho,2009.0,15.0
Cultural Huracán,Huanta,Estadio Municipal,Copa Perú,Ayacucho,1945.0,79.0
Defensor Tambo,Tambo,Estadio Municipal de Tambo,Copa Perú,Ayacucho,1944.0,80.0
Deportivo Cultural Ho Chi Minh,Carmen Alto,Estadio Hugo Sotil Yerén,Copa Perú,Ayacucho,1975.0,49.0
Deportivo Huáscar,Huamanga,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1961.0,63.0
Deportivo Las Américas,San Juan el Bautista,Estadio Leoncio Prado,Copa Perú,Ayacucho,1982.0,42.0
Deportivo Municipal Santillana,Santillana,Estadio Municipal,Copa Perú,Ayacucho,2007.0,17.0
