match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1,1993-01-01,Ghana,Mali,1.0,1.0,Friendly,Libreville,Gabon,True
2,1993-01-02,Gabon,Burkina Faso,1.0,1.0,Friendly,Libreville,Gabon,False
3,1993-01-02,Kuwait,Lebanon,2.0,0.0,Friendly,Kuwait City,Kuwait,False
4,1993-01-03,Burkina Faso,Mali,1.0,0.0,Friendly,Libreville,Gabon,True
5,1993-01-03,Gabon,Ghana,2.0,3.0,Friendly,Libreville,Gabon,False
6,1993-01-08,Uganda,Tanzania,3.0,1.0,Friendly,Kampala,Uganda,False
7,1993-01-09,Sierra Leone,Togo,0.0,0.0,African Cup of Nations qualification,Conakry,Guinea,True
8,1993-01-10,Angola,Zimbabwe,1.0,1.0,FIFA World Cup qualification,Luanda,Angola,False
9,1993-01-10,Botswana,South Africa,0.0,2.0,Friendly,Gaborone,Botswana,False
10,1993-01-10,DR Congo,Cameroon,1.0,2.0,FIFA World Cup qualification,Kinshasa,Zaïre,False
11,1993-01-10,Senegal,Algeria,1.0,2.0,African Cup of Nations qualification,Dakar,Senegal,False
12,1993-01-10,Tunisia,Bulgaria,3.0,0.0,Friendly,Béja,Tunisia,False
13,1993-01-10,Uganda,Tanzania,2.0,0.0,Friendly,Kampala,Uganda,False
14,1993-01-16,South Africa,Nigeria,0.0,0.0,FIFA World Cup qualification,Johannesburg,South Africa,False
15,1993-01-16,Tanzania,Zambia,1.0,3.0,FIFA World Cup qualification,Mwanza,Tanzania,False
16,1993-01-17,Benin,Tunisia,0.0,5.0,FIFA World Cup qualification,Cotonou,Benin,False
17,1993-01-17,Botswana,Ivory Coast,0.0,0.0,FIFA World Cup qualification,Gaborone,Botswana,False
18,1993-01-17,Burundi,Algeria,0.0,0.0,FIFA World Cup qualification,Bujumbura,Burundi,False
19,1993-01-17,Ethiopia,Morocco,0.0,1.0,FIFA World Cup qualification,Addis Ababa,Ethiopia,False
20,1993-01-17,Mozambique,Gabon,1.0,1.0,FIFA World Cup qualification,Maputo,Mozambique,False
21,1993-01-17,Namibia,Madagascar,0.0,1.0,FIFA World Cup qualification,Windhoek,Namibia,False
22,1993-01-17,Eswatini,Cameroon,0.0,0.0,FIFA World Cup qualification,Mbabane,Eswatini,False
23,1993-01-17,Togo,Zimbabwe,1.0,2.0,FIFA World Cup qualification,Lomé,Togo,False
24,1993-01-18,Angola,Egypt,0.0,0.0,FIFA World Cup qualification,Luanda,Angola,False
25,1993-01-19,North Korea,Bolivia,2.0,1.0,Nehru Cup,Madras,India,True
26,1993-01-20,Guinea-Bissau,Guinea,2.0,1.0,Friendly,Bissau,Guinea-Bissau,False
27,1993-01-20,India,Finland,0.0,0.0,Nehru Cup,Madras,India,False
28,1993-01-20,Italy,Mexico,2.0,0.0,Friendly,Florence,Italy,False
29,1993-01-22,Cameroon,Finland,0.0,0.0,Nehru Cup,Madras,India,True
30,1993-01-23,Japan,Switzerland,1.0,1.0,Friendly,Hong Kong,Hong Kong,True
31,1993-01-23,Ghana,Niger,4.0,0.0,Friendly,Kumasi,Ghana,False
32,1993-01-23,Guinea-Bissau,Algeria,1.0,4.0,African Cup of Nations qualification,Bissau,Guinea-Bissau,False
33,1993-01-23,Venezuela,Peru,0.0,0.0,Friendly,Puerto Ordaz,Venezuela,False
34,1993-01-24,India,Cameroon,1.0,1.0,Nehru Cup,Madras,India,False
35,1993-01-24,Malta,Portugal,0.0,1.0,FIFA World Cup qualification,Attard,Malta,False
36,1993-01-24,Togo,Senegal,1.0,1.0,African Cup of Nations qualification,Lomé,Togo,False
37,1993-01-25,Bolivia,Russia,1.0,2.0,Nehru Cup,Madras,India,True
38,1993-01-26,India,Finland,0.0,2.0,Nehru Cup,Madras,India,False
39,1993-01-27,Ecuador,Belarus,1.0,1.0,Friendly,Guayaquil,Ecuador,False
40,1993-01-27,Peru,Honduras,1.0,1.0,Friendly,Lima,Peru,False
41,1993-01-27,Spain,Mexico,1.0,1.0,Friendly,Las Palmas,Spain,False
42,1993-01-28,Cameroon,Finland,2.0,0.0,Nehru Cup,Madras,India,True
43,1993-01-29,Bolivia,Honduras,3.0,1.0,Friendly,Cochabamba,Bolivia,False
44,1993-01-30,India,Cameroon,2.0,2.0,Nehru Cup,Madras,India,False
45,1993-01-30,Peru,Belarus,1.0,1.0,Friendly,Lima,Peru,False
46,1993-01-30,Senegal,Mozambique,6.0,1.0,FIFA World Cup qualification,Dakar,Senegal,False
47,1993-01-30,United States,Denmark,2.0,2.0,Friendly,Tempe,United States,False
48,1993-01-30,Zambia,Namibia,4.0,0.0,FIFA World Cup qualification,Lusaka,Zambia,False
49,1993-01-31,Congo,South Africa,0.0,1.0,FIFA World Cup qualification,Pointe-Noire,Congo,False
50,1993-01-31,Ecuador,Romania,3.0,0.0,Friendly,Guayaquil,Ecuador,False
51,1993-01-31,Egypt,Togo,3.0,0.0,FIFA World Cup qualification,Cairo,Egypt,False
52,1993-01-31,Ghana,Burundi,1.0,0.0,FIFA World Cup qualification,Kumasi,Ghana,False
53,1993-01-31,Ivory Coast,Niger,1.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
54,1993-01-31,North Korea,Finland,3.0,2.0,Nehru Cup,Madras,India,True
55,1993-01-31,Morocco,Benin,5.0,0.0,FIFA World Cup qualification,Rabat,Morocco,False
56,1993-01-31,Tunisia,Ethiopia,3.0,0.0,FIFA World Cup qualification,Tunis,Tunisia,False
57,1993-01-31,Zimbabwe,Angola,2.0,1.0,FIFA World Cup qualification,Harare,Zimbabwe,False
58,1993-02-01,Cyprus,Poland,0.0,0.0,Friendly,Nicosia,Cyprus,False
59,1993-02-03,Israel,Poland,0.0,0.0,Friendly,Ramat-Gan,Israel,False
60,1993-02-03,Peru,Romania,0.0,2.0,Friendly,Lima,Peru,False
61,1993-02-05,Malaysia,Singapore,2.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
62,1993-02-06,Ghana,Indonesia,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
63,1993-02-06,United States,Romania,1.0,1.0,Friendly,Santa Barbara,United States,False
64,1993-02-07,Malaysia,Thailand,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
65,1993-02-09,Singapore,Thailand,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
66,1993-02-10,Mexico,Romania,0.0,2.0,Friendly,Monterrey,Mexico,False
67,1993-02-10,Portugal,Norway,1.0,1.0,Friendly,Faro,Portugal,False
68,1993-02-10,Thailand,U.S. Virgin Islands,1.0,0.0,King's Cup,Bangkok,Thailand,False
69,1993-02-13,Cyprus,Belgium,0.0,3.0,FIFA World Cup qualification,Nicosia,Cyprus,False
70,1993-02-13,United States,Russia,0.0,1.0,Friendly,Orlando,United States,False
71,1993-02-16,Costa Rica,Nicaragua,6.0,0.0,UNCAF Cup,San José,Costa Rica,False
72,1993-02-16,Thailand,U.S. Virgin Islands,0.0,4.0,King's Cup,Bangkok,Thailand,False
73,1993-02-17,Albania,Northern Ireland,1.0,2.0,FIFA World Cup qualification,Tirana,Albania,False
74,1993-02-17,El Salvador,Russia,1.0,2.0,Friendly,Pasadena,United States,True
75,1993-02-17,England,San Marino,6.0,0.0,FIFA World Cup qualification,London,England,False
76,1993-02-17,Greece,Luxembourg,2.0,0.0,FIFA World Cup qualification,Athens,Greece,False
77,1993-02-17,Republic of Ireland,Wales,2.0,1.0,Friendly,Dublin,Republic of Ireland,False
78,1993-02-17,Israel,France,0.0,4.0,FIFA World Cup qualification,Ramat-Gan,Israel,False
79,1993-02-17,Scotland,Malta,3.0,0.0,FIFA World Cup qualification,Glasgow,Scotland,False
80,1993-02-18,Argentina,Brazil,1.0,1.0,Friendly,Buenos Aires,Argentina,False
81,1993-02-18,United Arab Emirates,Bulgaria,1.0,0.0,Friendly,Dubai,United Arab Emirates,False
82,1993-02-19,Costa Rica,Nicaragua,2.0,0.0,UNCAF Cup,San José,Costa Rica,False
83,1993-02-20,Finland,Estonia,0.0,0.0,Friendly,Vantaa,Finland,False
84,1993-02-20,Latvia,Lithuania,1.0,2.0,Friendly,Vantaa,Finland,True
85,1993-02-20,United Arab Emirates,Bulgaria,1.0,3.0,Friendly,Dubai,United Arab Emirates,False
86,1993-02-21,Estonia,Latvia,0.0,2.0,Friendly,Vantaa,Finland,True
